Date,Open,High,Low,Close,Adj Close,Volume
2021-12-30,2.650000,2.770000,2.630000,2.640000,2.640000,5845500
2021-12-31,2.650000,2.770000,2.620000,2.640000,2.640000,5799100
2022-01-03,2.690000,2.730000,2.550000,2.660000,2.660000,6626100
2022-01-04,2.700000,2.760000,2.590000,2.720000,2.720000,6319800
2022-01-05,2.690000,2.720000,2.390000,2.440000,2.440000,8653200
2022-01-06,2.380000,2.450000,2.280000,2.400000,2.400000,9325500
2022-01-07,2.370000,2.430000,2.270000,2.290000,2.290000,8270900
2022-01-10,2.170000,2.310000,2.140000,2.300000,2.300000,8261400
2022-01-11,2.290000,2.460000,2.240000,2.410000,2.410000,7142000
2022-01-12,2.540000,2.610000,2.440000,2.530000,2.530000,7643400
2022-01-13,2.570000,2.570000,2.300000,2.300000,2.300000,6655500
2022-01-14,2.290000,2.420000,2.270000,2.420000,2.420000,5894600
2022-01-18,2.290000,2.310000,2.150000,2.180000,2.180000,8513700
2022-01-19,2.250000,2.280000,2.110000,2.120000,2.120000,5446200
2022-01-20,2.180000,2.320000,2.150000,2.160000,2.160000,7730200
2022-01-21,2.010000,2.060000,1.820000,1.820000,1.820000,14458000
2022-01-24,1.570000,1.880000,1.500000,1.870000,1.870000,19456200
2022-01-25,1.860000,1.910000,1.760000,1.850000,1.850000,8591200
2022-01-26,1.990000,2.070000,1.830000,1.860000,1.860000,12974400
2022-01-27,1.890000,1.910000,1.700000,1.730000,1.730000,8102000
2022-01-28,1.750000,1.870000,1.670000,1.870000,1.870000,9695000
2022-01-31,1.850000,2.040000,1.830000,1.990000,1.990000,10617600
2022-02-01,2.040000,2.130000,1.970000,2.110000,2.110000,8700300
2022-02-02,2.100000,2.100000,1.940000,1.970000,1.970000,7458200
2022-02-03,1.900000,1.950000,1.840000,1.860000,1.860000,5437200
2022-02-04,1.890000,2.120000,1.890000,2.000000,2.000000,18788600
2022-02-07,2.170000,2.290000,2.060000,2.080000,2.080000,20294000
2022-02-08,2.070000,2.160000,2.030000,2.090000,2.090000,11618100
2022-02-09,2.120000,2.250000,2.100000,2.230000,2.230000,10501300
